Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00043978,0.00035738,0.018027,0,0,0,0.068503,2.2545E-05,4.7989E-09,-2.6742E-08,1.2893E-05,-2.5548E-07,2.4878E-05,0,0,0,0,0,0,package://d2c_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d2c_description/meshes/base_link.STL,,d2cbase-1;XL-430_new (2)-1,base_car,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0016907,0.00029083,0.020821,0,0,0,0.084203,3.5148E-05,2.5544E-07,-3.0439E-07,2.1191E-05,4.4082E-09,3.1481E-05,0,0,0,0,0,0,package://d2c_description/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d2c_description/meshes/link1.STL,,XL-430_new (2)-2;d2c1-1,joint1_car,joint1__,joint1,revolute,-0.00056185,0.0125,0.0429,0,0,0,base_link,0,0,-1,0,0,3.14,-3.14,,,,,,,,
link2,-0.015137,-0.0025994,0.097393,0,0,0,0.25649,0.00086048,-2.5703E-07,1.0049E-06,0.00085527,-1.0286E-05,5.3981E-05,0,0,0,0,0,0,package://d2c_description/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d2c_description/meshes/link2.STL,,leg2-1;XL-430_new (2)-3,joint2_car,joint2__,joint2,revolute,-0.0254,0.0125,0.02335,0,0,0,link1,1,0,0,0,0,3.14,-3.14,,,,,,,,
link3,0.020034,-0.10196,-4.7366E-05,0,0,0,0.081122,0.00014931,4.3602E-06,2.2304E-09,7.7135E-06,-9.0825E-09,0.00015134,0,0,0,0,0,0,package://d2c_description/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d2c_description/meshes/link3.STL,,d2c2-1;leg3-real-part-1;XL-320.stp-1,joint3_car,joint3__,joint3,revolute,-0.036,-0.03025,0.18425,0,0,0,link2,-1,0,0,0,0,3.14,-3.14,,,,,,,,
link4,0.031004,0,-0.032054,0,0,0,0.0095064,1.4525E-05,5.5078E-21,1.9918E-06,1.2362E-05,-3.23E-21,2.3908E-05,0,0,0,0,0,0,package://d2c_description/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d2c_description/meshes/link4.STL,,last-1,joint4_car,joint4__,joint4,revolute,0.037937,-0.184,-9.3958E-05,0,0,0,link3,1,0,0,0,0,3.14,-3.14,,,,,,,,
